Episode 171, Goal reached at timestep: 1036, States explored: 67, Total reward: -166.14704620582333
Episode 172, Goal reached at timestep: 107, States explored: 67, Total reward: -33.536030122614996
Episode 173, Goal reached at timestep: 332, States explored: 67, Total reward: -70.02213976744436
Episode 174, Goal reached at timestep: 66, States explored: 67, Total reward: -17.661379629506172
Episode 175, Goal reached at timestep: 316, States explored: 67, Total reward: -62.73602614445117
Episode 176, Goal reached at timestep: 368, States explored: 67, Total reward: -93.98416234381706
Episode 177, Goal reached at timestep: 351, States explored: 67, Total reward: -75.93668312663237
Episode 178, Goal reached at timestep: 145, States explored: 67, Total reward: -36.50970096283889
Episode 179, Goal reached at timestep: 308, States explored: 67, Total reward: -69.66844347662999
Episode 180, Goal reached at timestep: 437, States explored: 67, Total reward: -92.87818435162319
Episode 181, Goal reached at timestep: 710, States explored: 67, Total reward: -130.4776606119677
Episode 182, Goal reached at timestep: 78, States explored: 67, Total reward: -19.40925893122931
Episode 183, Goal reached at timestep: 135, States explored: 67, Total reward: -28.96384735970686
Episode 184, Goal reached at timestep: 307, States explored: 67, Total reward: -62.833882707495626
Episode 185, Goal reached at timestep: 897, States explored: 67, Total reward: -163.9153052009313
Episode 186, Goal reached at timestep: 225, States explored: 67, Total reward: -64.78129469744904
Episode 187, Goal reached at timestep: 276, States explored: 67, Total reward: -93.48345607839117
Episode 188, Goal reached at timestep: 849, States explored: 67, Total reward: -145.05981968712672
Episode 189, Goal reached at timestep: 212, States explored: 67, Total reward: -52.94130554661711
Episode 190, Goal reached at timestep: 351, States explored: 67, Total reward: -61.85581435896496
Episode 191, Goal reached at timestep: 257, States explored: 67, Total reward: -57.409507199174534
Episode 192, Goal reached at timestep: 555, States explored: 67, Total reward: -109.78838374718116
Episode 193, Goal reached at timestep: 60, States explored: 67, Total reward: -12.315146954970619
Episode 194, Goal reached at timestep: 501, States explored: 68, Total reward: -119.2338138212336
Episode 195, Goal reached at timestep: 225, States explored: 68, Total reward: -47.72284095370717
Episode 196, Goal reached at timestep: 454, States explored: 68, Total reward: -84.88436414325326
Episode 197, Goal reached at timestep: 1533, States explored: 68, Total reward: -286.5009010042139
Episode 198, Goal reached at timestep: 286, States explored: 70, Total reward: -70.31429832919046
Episode 199, Goal reached at timestep: 403, States explored: 70, Total reward: -72.70271033393257
Episode 200, Goal reached at timestep: 404, States explored: 70, Total reward: -72.9018801625192
Episode 201, Goal reached at timestep: 246, States explored: 70, Total reward: -53.39050579075774
Episode 202, Goal reached at timestep: 309, States explored: 70, Total reward: -89.06969043552907
Episode 203, Goal reached at timestep: 218, States explored: 70, Total reward: -55.43741133656597
Episode 204, Goal reached at timestep: 651, States explored: 70, Total reward: -166.74390986620196
Episode 205, Goal reached at timestep: 447, States explored: 70, Total reward: -124.95617028579841
Episode 206, Goal reached at timestep: 1709, States explored: 70, Total reward: -324.39303352535535
Episode 207, Goal reached at timestep: 160, States explored: 70, Total reward: -46.73259572344883
Episode 208, Goal reached at timestep: 251, States explored: 70, Total reward: -54.38819827680343
